"Date","Price","Open","High","Low","Vol.","Change %"
"05/14/2019","0.8919","0.8910","0.8928","0.8892","97.88K","0.10%"
"05/13/2019","0.8910","0.8896","0.8912","0.8876","92.54K","0.10%"
"05/10/2019","0.8901","0.8911","0.8918","0.8886","125.72K","-0.17%"
"05/09/2019","0.8916","0.8935","0.8951","0.8887","129.04K","-0.22%"
"05/08/2019","0.8936","0.8936","0.8943","0.8916","127.31K","0.00%"
"05/07/2019","0.8936","0.8930","0.8956","0.8911","132.43K","0.07%"
"05/06/2019","0.8930","0.8926","0.8961","0.8920","105.09K","0.03%"
"05/03/2019","0.8927","0.8946","0.8981","0.8923","103.47K","-0.21%"
"05/02/2019","0.8946","0.8927","0.8953","0.8912","102.84K","0.16%"
"05/01/2019","0.8932","0.8916","0.8939","0.8876","79.68K","0.17%"
"04/30/2019","0.8917","0.8940","0.8949","0.8904","102.97K","-0.26%"
"04/29/2019","0.8940","0.8967","0.8976","0.8936","82.35K","-0.33%"
"04/26/2019","0.8970","0.8984","0.9000","0.8948","114.90K","-0.14%"
"04/25/2019","0.8983","0.8960","0.8995","0.8958","124.49K","0.19%"
"04/24/2019","0.8966","0.8907","0.8977","0.8903","141.63K","0.67%"
"04/23/2019","0.8906","0.8883","0.8936","0.8878","125.19K","0.28%"
"04/22/2019","0.8881","0.8894","0.8901","0.8878","72.39K","-0.10%"
"04/19/2019","0.8890","0.8896","0.8906","0.8886","89.84K","-0.16%"
"04/18/2019","0.8904","0.8852","0.8908","0.8845","125.60K","0.59%"
"04/17/2019","0.8852","0.8865","0.8867","0.8830","128.15K","-0.15%"
"04/16/2019","0.8865","0.8847","0.8866","0.8838","115.86K","0.26%"
"04/15/2019","0.8842","0.8850","0.8854","0.8832","93.51K","-0.07%"
"04/12/2019","0.8848","0.8886","0.8888","0.8829","128.28K","-0.44%"
"04/11/2019","0.8887","0.8871","0.8890","0.8857","124.36K","0.18%"
"04/10/2019","0.8871","0.8879","0.8906","0.8859","123.97K","-0.09%"
"04/09/2019","0.8879","0.8872","0.8886","0.8860","132.96K","-0.02%"
"04/08/2019","0.8881","0.8915","0.8919","0.8868","101.26K","-0.39%"
"04/05/2019","0.8916","0.8910","0.8921","0.8892","132.17K","0.04%"
"04/04/2019","0.8912","0.8901","0.8925","0.8889","135.43K","0.11%"
"04/03/2019","0.8902","0.8926","0.8929","0.8884","140.49K","-0.26%"
"04/02/2019","0.8925","0.8916","0.8943","0.8914","144.84K","0.08%"
"04/01/2019","0.8918","0.8915","0.8927","0.8889","115.78K","0.04%"
"03/29/2019","0.8914","0.8911","0.8922","0.8890","145.74K","0.10%"
"03/28/2019","0.8905","0.8891","0.8918","0.8878","151.79K","0.12%"
"03/27/2019","0.8894","0.8874","0.8896","0.8860","159.40K","0.19%"
"03/26/2019","0.8877","0.8840","0.8880","0.8827","143.12K","0.42%"
"03/25/2019","0.8840","0.8837","0.8863","0.8824","114.78K","0.01%"
"03/22/2019","0.8839","0.8792","0.8871","0.8777","161.24K","0.53%"
"03/21/2019","0.8792","0.8762","0.8817","0.8742","149.66K","0.34%"
"03/20/2019","0.8762","0.8810","0.8823","0.8734","140.48K","-0.53%"
"03/19/2019","0.8809","0.8821","0.8824","0.8800","131.55K","-0.14%"
"03/18/2019","0.8821","0.8832","0.8836","0.8803","95.07K","-0.10%"
"03/15/2019","0.8830","0.8846","0.8853","0.8813","145.78K","-0.19%"
"03/14/2019","0.8847","0.8829","0.8855","0.8817","169.18K","0.20%"
"03/13/2019","0.8829","0.8860","0.8868","0.8818","160.62K","-0.34%"
"03/12/2019","0.8859","0.8889","0.8894","0.8844","165.86K","-0.34%"
"03/11/2019","0.8889","0.8898","0.8912","0.8882","126.00K","-0.08%"
"03/08/2019","0.8896","0.8934","0.8942","0.8891","136.43K","-0.43%"
"03/07/2019","0.8934","0.8845","0.8948","0.8833","137.53K","1.01%"
"03/06/2019","0.8845","0.8839","0.8861","0.8829","138.89K","0.01%"
"03/05/2019","0.8844","0.8820","0.8858","0.8809","140.88K","0.28%"
"03/04/2019","0.8819","0.8789","0.8843","0.8775","110.26K","0.33%"
"03/01/2019","0.8790","0.8785","0.8810","0.8765","156.73K","-0.06%"
"02/28/2019","0.8795","0.8794","0.8805","0.8756","160.78K","-0.01%"
"02/27/2019","0.8796","0.8779","0.8802","0.8768","151.86K","0.25%"
"02/26/2019","0.8774","0.8798","0.8816","0.8769","142.08K","-0.34%"
"02/25/2019","0.8804","0.8821","0.8831","0.8796","130.22K","-0.14%"
"02/22/2019","0.8816","0.8822","0.8838","0.8804","153.24K","-0.07%"
"02/21/2019","0.8822","0.8821","0.8834","0.8797","162.59K","0.01%"
"02/20/2019","0.8821","0.8818","0.8831","0.8793","147.52K","0.03%"
"02/19/2019","0.8818","0.8842","0.8870","0.8804","135.02K","-0.26%"
"02/18/2019","0.8841","0.8861","0.8863","0.8822","103.75K","-0.15%"
"02/15/2019","0.8854","0.8853","0.8903","0.8840","152.82K","0.01%"
"02/14/2019","0.8853","0.8875","0.8892","0.8841","153.82K","-0.30%"
"02/13/2019","0.8880","0.8830","0.8882","0.8815","153.98K","0.57%"
"02/12/2019","0.8830","0.8865","0.8885","0.8817","144.06K","-0.44%"
"02/11/2019","0.8869","0.8828","0.8877","0.8826","118.57K","0.49%"
"02/08/2019","0.8826","0.8819","0.8835","0.8808","154.67K","0.15%"
"02/07/2019","0.8813","0.8802","0.8832","0.8791","158.35K","0.12%"
"02/06/2019","0.8802","0.8768","0.8804","0.8757","173.89K","0.47%"
"02/05/2019","0.8761","0.8742","0.8773","0.8730","171.17K","0.22%"
"02/04/2019","0.8742","0.8730","0.8757","0.8722","121.20K","0.14%"
"02/01/2019","0.8730","0.8737","0.8747","0.8704","167.34K","-0.07%"
"01/31/2019","0.8736","0.8711","0.8746","0.8683","174.90K","0.28%"
"01/30/2019","0.8712","0.8747","0.8769","0.8693","179.84K","-0.41%"
"01/29/2019","0.8748","0.8749","0.8765","0.8732","178.21K","-0.05%"
"01/28/2019","0.8752","0.8767","0.8781","0.8736","160.92K","-0.17%"
"01/25/2019","0.8767","0.8846","0.8852","0.8756","169.55K","-0.88%"
"01/24/2019","0.8845","0.8787","0.8859","0.8773","155.75K","0.66%"
"01/23/2019","0.8787","0.8803","0.8812","0.8774","139.45K","-0.19%"
"01/22/2019","0.8804","0.8799","0.8823","0.8782","154.96K","0.07%"
"01/21/2019","0.8798","0.8796","0.8807","0.8766","132.28K","-0.03%"
"01/18/2019","0.8801","0.8774","0.8810","0.8762","157.65K","0.28%"
"01/17/2019","0.8776","0.8776","0.8796","0.8765","178.91K","0.05%"
"01/16/2019","0.8772","0.8760","0.8791","0.8751","","0.11%"
"01/15/2019","0.8762","0.8717","0.8788","0.8701","","0.55%"
"01/14/2019","0.8714","0.8719","0.8743","0.8708","","-0.07%"
"01/11/2019","0.8720","0.8697","0.8729","0.8665","155.95K","0.28%"
"01/10/2019","0.8696","0.8664","0.8708","0.8643","","0.37%"
"01/09/2019","0.8664","0.8740","0.8746","0.8654","","-0.87%"
"01/08/2019","0.8740","0.8714","0.8756","0.8706","6.64K","0.30%"
"01/07/2019","0.8714","0.8779","0.8779","0.8708","5.20K","-0.71%"
"01/04/2019","0.8776","0.8778","0.8815","0.8756","144.77K","-0.01%"
"01/03/2019","0.8777","0.8815","0.8843","0.8762","9.25K","-0.44%"
"01/02/2019","0.8816","0.8723","0.8830","0.8697","9.01K","1.07%"
"01/01/2019","0.8723","0.8722","0.8753","0.8660","3.38K","0.06%"
"12/31/2018","0.8718","0.8739","0.8756","0.8718","0.22K","-0.24%"
"12/28/2018","0.8739","0.8749","0.8755","0.8713","","-0.11%"
"12/27/2018","0.8749","0.8809","0.8811","0.8729","9.65K","-0.68%"
"12/26/2018","0.8809","0.8801","0.8817","0.8755","6.79K","0.09%"
"12/25/2018","0.8801","0.8772","0.8803","0.8749","9.26K","0.32%"
"12/24/2018","0.8773","0.8795","0.8810","0.8742","3.16K","-0.24%"
"12/21/2018","0.8794","0.8737","0.8809","0.8715","","0.65%"
"12/20/2018","0.8737","0.8790","0.8795","0.8706","11.03K","-0.60%"
"12/19/2018","0.8790","0.8802","0.8803","0.8740","","-0.14%"
"12/18/2018","0.8802","0.8813","0.8822","0.8769","","-0.12%"
"12/17/2018","0.8813","0.8844","0.8851","0.8804","","-0.33%"
"12/14/2018","0.8842","0.8802","0.8875","0.8793","","0.48%"
"12/13/2018","0.8800","0.8796","0.8827","0.8776","","0.03%"
"12/12/2018","0.8797","0.8837","0.8840","0.8780","","-0.44%"
"12/11/2018","0.8836","0.8806","0.8847","0.8771","","0.34%"
"12/10/2018","0.8806","0.8771","0.8812","0.8738","","0.19%"
"12/07/2018","0.8789","0.8790","0.8804","0.8753","","-0.02%"
"12/06/2018","0.8791","0.8815","0.8834","0.8762","","-0.27%"
"12/05/2018","0.8815","0.8817","0.8842","0.8801","","0.01%"
"12/04/2018","0.8814","0.8808","0.8836","0.8756","","0.07%"
"12/03/2018","0.8808","0.8839","0.8839","0.8787","","-0.33%"
"11/30/2018","0.8837","0.8777","0.8847","0.8771","","0.67%"
"11/29/2018","0.8778","0.8798","0.8813","0.8770","","-0.23%"
"11/28/2018","0.8798","0.8856","0.8877","0.8781","","-0.69%"
"11/27/2018","0.8859","0.8828","0.8868","0.8815","","0.35%"
"11/26/2018","0.8828","0.8817","0.8832","0.8784","","0.12%"
"11/23/2018","0.8817","0.8769","0.8830","0.8755","","0.58%"
"11/22/2018","0.8766","0.8784","0.8788","0.8745","","-0.20%"
